Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001723, 0.028282, 
50, 0.004904, 0.063635, 
50, 0.010561, 0.113126, 
50, 0.019398, 0.176752, 
50, 0.032124, 0.254508, 
50, 0.049443, 0.346384, 
50, 0.072061, 0.452367, 
50, 0.100683, 0.572437, 
50, 0.136011, 0.706567, 
50, 0.178747, 0.854717, 
50, 0.229589, 1.016833, 
50, 0.288878, 1.185785, 
50, 0.356600, 1.354439, 
50, 0.432736, 1.522710, 
50, 0.517261, 1.690500, 
50, 0.610145, 1.857693, 
50, 0.711353, 2.024159, 
50, 0.820841, 2.189749, 
50, 0.938556, 2.354300, 
50, 1.064437, 2.517633, 
50, 1.198416, 2.679562, 
50, 1.340410, 2.839889, 
50, 1.490331, 2.998416, 
50, 1.648078, 3.154947, 
50, 1.813543, 3.309294, 
50, 1.986607, 3.461279, 
50, 2.166803, 3.603923, 
50, 2.353324, 3.730428, 
50, 2.545373, 3.840972, 
50, 2.742163, 3.935792, 
50, 2.942921, 4.015175, 
50, 3.146894, 4.079448, 
50, 3.353342, 4.128966, 
50, 3.561547, 4.164095, 
50, 3.770807, 4.185207, 
50, 3.980441, 4.192669, 
50, 4.189782, 4.186833, 
50, 4.398184, 4.168036, 
50, 4.605332, 4.142968, 
50, 4.811238, 4.118110, 
50, 5.015910, 4.093441, 
50, 5.219356, 4.068931, 
50, 5.421584, 4.044545, 
50, 5.622596, 4.020240, 
50, 5.822394, 3.995973, 
50, 6.020979, 3.971697, 
50, 6.218348, 3.947368, 
50, 6.414495, 3.922942, 
50, 6.609414, 3.898380, 
50, 6.803096, 3.873646, 
50, 6.995532, 3.848714, 
50, 7.186710, 3.823566, 
50, 7.376620, 3.798196, 
50, 7.565250, 3.772612, 
50, 7.752592, 3.746840, 
50, 7.938639, 3.720925, 
50, 8.123385, 3.694933, 
50, 8.306833, 3.668956, 
50, 8.488989, 3.643115, 
50, 8.669867, 3.617556, 
50, 8.849489, 3.592455, 
50, 9.027890, 3.568019, 
50, 9.205114, 3.544477, 
50, 9.381218, 3.522083, 
50, 9.556273, 3.501101, 
50, 9.730364, 3.481807, 
50, 9.903587, 3.464466, 
50, 10.076054, 3.449332, 
50, 10.247885, 3.436627, 
50, 10.419212, 3.426531, 
50, 10.596729, 3.550346, 
50, 10.786420, 3.793815, 
50, 10.974355, 3.758702, 
50, 11.160384, 3.720592, 
50, 11.344330, 3.678920, 
50, 11.525983, 3.633051, 
50, 11.705097, 3.582275, 
50, 11.881387, 3.525810, 
50, 12.054528, 3.462817, 
50, 12.224150, 3.392443, 
50, 12.389845, 3.313889, 
50, 12.551172, 3.226551, 
50, 12.707683, 3.130225, 
50, 12.858955, 3.025423, 
50, 13.004587, 2.912650, 
50, 13.144144, 2.791145, 
50, 13.277348, 2.664068, 
50, 13.404339, 2.539832, 
50, 13.525713, 2.427463, 
50, 13.642448, 2.334702, 
50, 13.755744, 2.265918, 
50, 13.866782, 2.220771, 
50, 13.976499, 2.194338, 
50, 14.085431, 2.178636, 
50, 14.193668, 2.164739, 
50, 14.300896, 2.144569, 
50, 14.406547, 2.113014, 
50, 14.510070, 2.070465, 
50, 14.610993, 2.018469, 
50, 14.708831, 1.956740, 
50, 14.803115, 1.885683, 
50, 14.893418, 1.806065, 
50, 14.979358, 1.718800, 
50, 15.060599, 1.624826, 
50, 15.136851, 1.525036, 
50, 15.207863, 1.420244, 
50, 15.273422, 1.311179, 
50, 15.333346, 1.198480, 
50, 15.387481, 1.082706, 
50, 15.435699, 0.964346, 
50, 15.477890, 0.843827, 
50, 15.514035, 0.722893, 
50, 15.544392, 0.607156, 
50, 15.569436, 0.500872, 
50, 15.589654, 0.404361, 
50, 15.605548, 0.317870, 
50, 15.617627, 0.241589, 
50, 15.626410, 0.175659, 
50, 15.632419, 0.120184, 
50, 15.636181, 0.075236, 
50, 15.638224, 0.040860, 
50, 15.639078, 0.017086, 
50, 15.639275, 0.003926, 
50, 15.639275, 0.000000, 
