Delta Time, Position, Velocity, 
50, 0.000309, 0.012346, 
50, 0.001721, 0.028250, 
50, 0.004899, 0.063562, 
50, 0.010549, 0.113001, 
50, 0.019378, 0.176566, 
50, 0.032091, 0.254259, 
50, 0.049395, 0.346082, 
50, 0.071996, 0.452037, 
50, 0.100603, 0.572125, 
50, 0.135920, 0.706345, 
50, 0.178655, 0.854692, 
50, 0.229512, 1.017155, 
50, 0.288845, 1.186650, 
50, 0.356649, 1.356081, 
50, 0.432919, 1.525402, 
50, 0.517647, 1.694555, 
50, 0.610820, 1.863461, 
50, 0.712421, 2.032029, 
50, 0.822428, 2.200143, 
50, 0.940812, 2.367673, 
50, 1.067535, 2.534465, 
50, 1.202553, 2.700347, 
50, 1.345809, 2.865132, 
50, 1.497240, 3.028615, 
50, 1.656769, 3.190584, 
50, 1.824310, 3.350820, 
50, 1.999765, 3.509103, 
50, 2.182680, 3.658292, 
50, 2.372249, 3.791381, 
50, 2.567670, 3.908420, 
50, 2.768146, 4.009532, 
50, 2.972891, 4.094901, 
50, 3.181130, 4.164773, 
50, 3.392102, 4.219446, 
50, 3.605065, 4.259250, 
50, 3.819292, 4.284545, 
50, 4.034077, 4.295699, 
50, 4.248731, 4.293082, 
50, 4.462584, 4.277055, 
50, 4.675309, 4.254510, 
50, 4.886917, 4.232149, 
50, 5.097417, 4.210003, 
50, 5.306822, 4.188090, 
50, 5.515142, 4.166417, 
50, 5.722391, 4.144979, 
50, 5.928580, 4.123764, 
50, 6.133717, 4.102751, 
50, 6.337813, 4.081915, 
50, 6.540874, 4.061226, 
50, 6.742907, 4.040650, 
50, 6.943914, 4.020150, 
50, 7.143899, 3.999688, 
50, 7.342860, 3.979225, 
50, 7.540796, 3.958722, 
50, 7.737703, 3.938141, 
50, 7.933575, 3.917446, 
50, 8.128405, 3.896602, 
50, 8.322184, 3.875580, 
50, 8.514902, 3.854353, 
50, 8.706547, 3.832902, 
50, 8.897108, 3.811215, 
50, 9.086572, 3.789288, 
50, 9.274929, 3.767127, 
50, 9.462166, 3.744750, 
50, 9.648276, 3.722191, 
50, 9.833251, 3.699497, 
50, 10.017087, 3.676734, 
50, 10.199787, 3.653986, 
50, 10.381355, 3.631359, 
50, 10.561804, 3.608979, 
50, 10.741153, 3.586994, 
50, 10.919432, 3.565570, 
50, 11.096676, 3.544895, 
50, 11.272935, 3.525170, 
50, 11.448265, 3.506607, 
50, 11.622736, 3.489422, 
50, 11.796428, 3.473829, 
50, 11.969429, 3.460031, 
50, 12.141840, 3.448212, 
50, 12.313766, 3.438527, 
50, 12.485321, 3.431098, 
50, 12.656621, 3.426002, 
50, 12.827785, 3.423271, 
50, 12.998932, 3.422938, 
50, 13.171860, 3.458559, 
50, 13.341570, 3.394204, 
50, 13.507505, 3.318695, 
50, 13.668998, 3.229866, 
50, 13.825263, 3.125306, 
50, 13.975392, 3.002572, 
50, 14.118376, 2.859673, 
50, 14.253176, 2.696008, 
50, 14.378875, 2.513989, 
50, 14.494943, 2.321350, 
50, 14.601620, 2.133536, 
50, 14.700336, 1.974318, 
50, 14.793931, 1.871907, 
50, 14.886406, 1.849500, 
50, 14.982133, 1.914542, 
50, 15.084868, 2.054694, 
50, 15.196897, 2.240587, 
50, 15.318848, 2.439020, 
50, 15.450131, 2.625654, 
50, 15.589406, 2.785506, 
50, 15.734989, 2.911662, 
50, 15.885113, 3.002485, 
50, 16.038071, 3.059152, 
50, 16.192272, 3.084019, 
50, 16.346257, 3.079709, 
50, 16.498691, 3.048670, 
50, 16.648341, 2.992997, 
50, 16.794065, 2.914490, 
50, 16.935086, 2.820413, 
50, 17.070987, 2.718013, 
50, 17.201416, 2.608590, 
50, 17.326073, 2.493131, 
50, 17.444692, 2.372385, 
50, 17.557038, 2.246926, 
50, 17.662898, 2.117194, 
50, 17.762075, 1.983533, 
50, 17.854386, 1.846219, 
50, 17.939660, 1.705487, 
50, 18.017737, 1.561546, 
50, 18.088467, 1.414597, 
50, 18.151709, 1.264847, 
50, 18.207335, 1.112514, 
50, 18.255233, 0.957950, 
50, 18.295639, 0.808132, 
50, 18.329142, 0.670061, 
50, 18.356350, 0.544163, 
50, 18.377891, 0.430802, 
50, 18.394404, 0.330279, 
50, 18.406546, 0.242835, 
50, 18.414979, 0.168655, 
50, 18.420373, 0.107875, 
50, 18.423402, 0.060587, 
50, 18.424744, 0.026847, 
50, 18.425079, 0.006684, 
50, 18.425079, 0.000000, 
