Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 3.500000, 10.960000, 0.000020, 0.002000, 0.100000, 5.000000, 0.000000, 
20, 3.500035, 10.960000, 0.000055, 0.001750, -0.012500, -5.625000, 0.000000, 
20, 3.500215, 10.960000, 0.000235, 0.009000, 0.362500, 18.750000, 0.000000, 
20, 3.500535, 10.960000, 0.000555, 0.016000, 0.350000, -0.625000, 0.000000, 
20, 3.501035, 10.960000, 0.001055, 0.025000, 0.450000, 5.000000, 0.000000, 
20, 3.501755, 10.960000, 0.001775, 0.036000, 0.550000, 5.000000, 0.000000, 
20, 3.502735, 10.960000, 0.002755, 0.049000, 0.650000, 5.000000, 0.000000, 
20, 3.504015, 10.960000, 0.004035, 0.064000, 0.750000, 5.000000, 0.000000, 
20, 3.505635, 10.960000, 0.005655, 0.081000, 0.850000, 5.000000, 0.000000, 
20, 3.507635, 10.960000, 0.007655, 0.100000, 0.950000, 5.000000, 0.000000, 
20, 3.510055, 10.960000, 0.010075, 0.121000, 1.050000, 5.000000, 0.000000, 
20, 3.512935, 10.960000, 0.012955, 0.144000, 1.150000, 5.000000, 0.000000, 
20, 3.516315, 10.960000, 0.016335, 0.169000, 1.250000, 5.000000, 0.000000, 
20, 3.520235, 10.960000, 0.020255, 0.196000, 1.350000, 5.000000, 0.000000, 
20, 3.524735, 10.960000, 0.024755, 0.225000, 1.450000, 5.000000, 0.000000, 
20, 3.529855, 10.960000, 0.029875, 0.256000, 1.550000, 5.000000, 0.000000, 
20, 3.535635, 10.960000, 0.035655, 0.289000, 1.650000, 5.000000, 0.000000, 
20, 3.542115, 10.960000, 0.042135, 0.324000, 1.750000, 5.000000, 0.000000, 
20, 3.549335, 10.960000, 0.049355, 0.361000, 1.850000, 5.000000, 0.000000, 
20, 3.557335, 10.960000, 0.057355, 0.400000, 1.950000, 5.000000, 0.000000, 
20, 3.566155, 10.960000, 0.066175, 0.441000, 2.050000, 5.000000, 0.000000, 
20, 3.575835, 10.960000, 0.075855, 0.484000, 2.150000, 5.000000, 0.000000, 
20, 3.586415, 10.960000, 0.086435, 0.529000, 2.250000, 5.000000, 0.000000, 
20, 3.597935, 10.960000, 0.097955, 0.576000, 2.350000, 5.000000, 0.000000, 
20, 3.610435, 10.960000, 0.110455, 0.625000, 2.450000, 5.000000, 0.000000, 
20, 3.623955, 10.960000, 0.123975, 0.676000, 2.550000, 5.000000, 0.000000, 
20, 3.638535, 10.960000, 0.138555, 0.729000, 2.650000, 5.000000, 0.000000, 
20, 3.654215, 10.960000, 0.154235, 0.784000, 2.750000, 5.000000, 0.000000, 
20, 3.671035, 10.960000, 0.171055, 0.841000, 2.850000, 5.000000, 0.000000, 
20, 3.689035, 10.960000, 0.189055, 0.900000, 2.950000, 5.000000, 0.000000, 
20, 3.708235, 10.960000, 0.208255, 0.960000, 3.000000, 2.500000, 0.000000, 
20, 3.728635, 10.960000, 0.228655, 1.020000, 3.000000, -0.000000, 0.000000, 
20, 3.750235, 10.960000, 0.250255, 1.080000, 3.000000, 0.000000, 0.000000, 
20, 3.773035, 10.960000, 0.273055, 1.140000, 3.000000, -0.000000, 0.000000, 
20, 3.797035, 10.960000, 0.297055, 1.200000, 3.000000, 0.000000, 0.000000, 
20, 3.822235, 10.960000, 0.322255, 1.260000, 3.000000, -0.000000, 0.000000, 
20, 3.848635, 10.960000, 0.348655, 1.320000, 3.000000, 0.000000, 0.000000, 
20, 3.876235, 10.960000, 0.376255, 1.380000, 3.000000, 0.000000, 0.000000, 
20, 3.905035, 10.960000, 0.405055, 1.440000, 3.000000, -0.000000, 0.000000, 
20, 3.935035, 10.960000, 0.435055, 1.500000, 3.000000, 0.000000, 0.000000, 
20, 3.966235, 10.960000, 0.466255, 1.560000, 3.000000, -0.000000, 0.000000, 
20, 3.998635, 10.960000, 0.498655, 1.620000, 3.000000, -0.000000, 0.000000, 
20, 4.032235, 10.960000, 0.532255, 1.680000, 3.000000, 0.000000, 0.000000, 
20, 4.067035, 10.960000, 0.567055, 1.740000, 3.000000, 0.000000, 0.000000, 
20, 4.103035, 10.960000, 0.603055, 1.800000, 3.000000, -0.000000, 0.000000, 
20, 4.140235, 10.960000, 0.640255, 1.860000, 3.000000, 0.000000, 0.000000, 
20, 4.178635, 10.960000, 0.678655, 1.920000, 3.000000, -0.000000, 0.000000, 
20, 4.218235, 10.960000, 0.718255, 1.980000, 3.000000, 0.000000, 0.000000, 
20, 4.259035, 10.960000, 0.759055, 2.040000, 3.000000, 0.000000, 0.000000, 
20, 4.301035, 10.960000, 0.801055, 2.100000, 3.000000, 0.000000, 0.000000, 
20, 4.344235, 10.960000, 0.844255, 2.160000, 3.000000, -0.000000, 0.000000, 
20, 4.388635, 10.960000, 0.888655, 2.220000, 3.000000, 0.000000, 0.000000, 
20, 4.434235, 10.960000, 0.934255, 2.280000, 3.000000, 0.000000, 0.000000, 
20, 4.481035, 10.960000, 0.981055, 2.340000, 3.000000, 0.000000, 0.000000, 
20, 4.529035, 10.960000, 1.029055, 2.400000, 3.000000, 0.000000, 0.000000, 
20, 4.578235, 10.960000, 1.078255, 2.460000, 3.000000, 0.000000, 0.000000, 
20, 4.628635, 10.960000, 1.128655, 2.520000, 3.000000, -0.000000, 0.000000, 
20, 4.680235, 10.960000, 1.180255, 2.580000, 3.000000, 0.000000, 0.000000, 
20, 4.733035, 10.960000, 1.233055, 2.640000, 3.000000, -0.000000, 0.000000, 
20, 4.787035, 10.960000, 1.287055, 2.700000, 3.000000, 0.000000, 0.000000, 
20, 4.842235, 10.960000, 1.342255, 2.760000, 3.000000, 0.000000, 0.000000, 
20, 4.898635, 10.960000, 1.398655, 2.820000, 3.000000, -0.000000, 0.000000, 
20, 4.956235, 10.960000, 1.456255, 2.880000, 3.000000, 0.000000, 0.000000, 
20, 5.015035, 10.960000, 1.515055, 2.940000, 3.000000, -0.000000, 0.000000, 
20, 5.075035, 10.960000, 1.575055, 3.000000, 3.000000, 0.000000, 0.000000, 
20, 5.136235, 10.960000, 1.636255, 3.060000, 3.000000, -0.000000, 0.000000, 
20, 5.198635, 10.960000, 1.698655, 3.120000, 3.000000, 0.000000, 0.000000, 
20, 5.262235, 10.960000, 1.762255, 3.180000, 3.000000, -0.000000, 0.000000, 
20, 5.327035, 10.960000, 1.827055, 3.240000, 3.000000, -0.000000, 0.000000, 
20, 5.393035, 10.960000, 1.893055, 3.300000, 3.000000, 0.000000, 0.000000, 
20, 5.460235, 10.960000, 1.960255, 3.360000, 3.000000, -0.000000, 0.000000, 
20, 5.528635, 10.960000, 2.028655, 3.420000, 3.000000, -0.000000, 0.000000, 
20, 5.598235, 10.960000, 2.098255, 3.480000, 3.000000, 0.000000, 0.000000, 
20, 5.669035, 10.960000, 2.169055, 3.540000, 3.000000, 0.000000, 0.000000, 
20, 5.741035, 10.960000, 2.241055, 3.600000, 3.000000, 0.000000, 0.000000, 
20, 5.814235, 10.960000, 2.314255, 3.660000, 3.000000, 0.000000, 0.000000, 
20, 5.888635, 10.960000, 2.388655, 3.720000, 3.000000, -0.000000, 0.000000, 
20, 5.964235, 10.960000, 2.464255, 3.780000, 3.000000, 0.000000, 0.000000, 
20, 6.041035, 10.960000, 2.541055, 3.840000, 3.000000, -0.000000, 0.000000, 
20, 6.119035, 10.960000, 2.619055, 3.900000, 3.000000, 0.000000, 0.000000, 
20, 6.198235, 10.960000, 2.698255, 3.960000, 3.000000, 0.000000, 0.000000, 
20, 6.278635, 10.960000, 2.778655, 4.020000, 3.000000, -0.000000, 0.000000, 
20, 6.360235, 10.960000, 2.860255, 4.080000, 3.000000, -0.000000, 0.000000, 
20, 6.443035, 10.960000, 2.943055, 4.140000, 3.000000, 0.000000, 0.000000, 
20, 6.527035, 10.960000, 3.027055, 4.200000, 3.000000, 0.000000, 0.000000, 
20, 6.612235, 10.960000, 3.112255, 4.260000, 3.000000, 0.000000, 0.000000, 
20, 6.698635, 10.960000, 3.198655, 4.320000, 3.000000, -0.000000, 0.000000, 
20, 6.786235, 10.960000, 3.286255, 4.380000, 3.000000, 0.000000, 0.000000, 
20, 6.875035, 10.960000, 3.375055, 4.440000, 3.000000, 0.000000, 0.000000, 
20, 6.965035, 10.960000, 3.465055, 4.500000, 3.000000, -0.000000, 0.000000, 
20, 7.056235, 10.960000, 3.556255, 4.560000, 3.000000, 0.000000, 0.000000, 
20, 7.148635, 10.960000, 3.648655, 4.620000, 3.000000, -0.000000, 0.000000, 
20, 7.242235, 10.960000, 3.742255, 4.680000, 3.000000, 0.000000, 0.000000, 
20, 7.337035, 10.960000, 3.837055, 4.740000, 3.000000, 0.000000, 0.000000, 
20, 7.433035, 10.960000, 3.933055, 4.800000, 3.000000, -0.000000, 0.000000, 
20, 7.530235, 10.960000, 4.030255, 4.860000, 3.000000, 0.000000, 0.000000, 
20, 7.628635, 10.960000, 4.128655, 4.920000, 3.000000, -0.000000, 0.000000, 
20, 7.728235, 10.960000, 4.228255, 4.980000, 3.000000, 0.000000, 0.000000, 
