Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 3.500000, 10.960000, 0.000020, 0.001993, 0.099660, 4.983025, 0.000000, 
20, 3.500035, 10.960000, 0.000055, 0.001733, -0.013009, -5.633488, 0.000000, 
20, 3.500214, 10.960000, 0.000234, 0.008969, 0.361821, 18.741512, 0.000000, 
20, 3.500533, 10.960000, 0.000553, 0.015946, 0.348812, -0.650463, 0.000000, 
20, 3.501031, 10.960000, 0.001051, 0.024915, 0.448472, 4.983025, 0.000000, 
20, 3.501749, 10.960000, 0.001769, 0.035878, 0.548133, 4.983025, 0.000000, 
20, 3.502725, 10.960000, 0.002745, 0.048834, 0.647793, 4.983025, 0.000000, 
20, 3.504001, 10.960000, 0.004021, 0.063783, 0.747454, 4.983025, 0.000000, 
20, 3.505616, 10.960000, 0.005636, 0.080725, 0.847114, 4.983025, 0.000000, 
20, 3.507609, 10.960000, 0.007629, 0.099660, 0.946775, 4.983025, 0.000000, 
20, 3.510021, 10.960000, 0.010041, 0.120589, 1.046435, 4.983025, 0.000000, 
20, 3.512891, 10.960000, 0.012911, 0.143511, 1.146096, 4.983025, 0.000000, 
20, 3.516259, 10.960000, 0.016279, 0.168426, 1.245756, 4.983025, 0.000000, 
20, 3.520166, 10.960000, 0.020186, 0.195335, 1.345417, 4.983025, 0.000000, 
20, 3.524651, 10.960000, 0.024671, 0.224236, 1.445077, 4.983025, 0.000000, 
20, 3.529753, 10.960000, 0.029773, 0.255131, 1.544738, 4.983025, 0.000000, 
20, 3.535514, 10.960000, 0.035534, 0.288019, 1.644398, 4.983025, 0.000000, 
20, 3.541972, 10.960000, 0.041992, 0.322900, 1.744059, 4.983025, 0.000000, 
20, 3.549167, 10.960000, 0.049187, 0.359774, 1.843719, 4.983025, 0.000000, 
20, 3.557140, 10.960000, 0.057160, 0.398642, 1.943380, 4.983025, 0.000000, 
20, 3.565930, 10.960000, 0.065950, 0.439503, 2.043040, 4.983025, 0.000000, 
20, 3.575577, 10.960000, 0.075597, 0.482357, 2.142701, 4.983025, 0.000000, 
20, 3.586121, 10.960000, 0.086141, 0.527204, 2.242361, 4.983025, 0.000000, 
20, 3.597602, 10.960000, 0.097622, 0.574044, 2.342022, 4.983025, 0.000000, 
20, 3.610060, 10.960000, 0.110080, 0.622878, 2.441682, 4.983025, 0.000000, 
20, 3.623534, 10.960000, 0.123554, 0.673705, 2.541342, 4.983025, 0.000000, 
20, 3.638064, 10.960000, 0.138084, 0.726525, 2.641003, 4.983025, 0.000000, 
20, 3.653691, 10.960000, 0.153711, 0.781338, 2.740663, 4.983025, 0.000000, 
