Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 7.000128, 10.960000, 0.000198, 0.019773, 0.988643, 49.432152, 0.000000, 
20, 7.000919, 10.960000, 0.000989, 0.039546, 0.988643, -0.000000, 0.000000, 
20, 7.002698, 10.960000, 0.002768, 0.088978, 2.471608, 74.148229, 0.000000, 
20, 7.005664, 10.960000, 0.005734, 0.148296, 2.965929, 24.716076, 0.000000, 
20, 7.009816, 10.960000, 0.009886, 0.207615, 2.965929, -0.000000, 0.000000, 
20, 7.015155, 10.960000, 0.015225, 0.266934, 2.965929, 0.000000, 0.000000, 
20, 7.021680, 10.960000, 0.021750, 0.326252, 2.965929, -0.000000, 0.000000, 
20, 7.029392, 10.960000, 0.029462, 0.385571, 2.965929, 0.000000, 0.000000, 
20, 7.038289, 10.960000, 0.038359, 0.444889, 2.965929, 0.000000, 0.000000, 
20, 7.048374, 10.960000, 0.048444, 0.504208, 2.965929, -0.000000, 0.000000, 
20, 7.059644, 10.960000, 0.059714, 0.563527, 2.965929, 0.000000, 0.000000, 
20, 7.072101, 10.960000, 0.072171, 0.622845, 2.965929, 0.000000, 0.000000, 
20, 7.085744, 10.960000, 0.085814, 0.682164, 2.965929, 0.000000, 0.000000, 
20, 7.100574, 10.960000, 0.100644, 0.741482, 2.965929, -0.000000, 0.000000, 
20, 7.116590, 10.960000, 0.116660, 0.800801, 2.965929, 0.000000, 0.000000, 
20, 7.133792, 10.960000, 0.133862, 0.860119, 2.965929, -0.000000, 0.000000, 
20, 7.152181, 10.960000, 0.152251, 0.919438, 2.965929, 0.000000, 0.000000, 
20, 7.171756, 10.960000, 0.171826, 0.978757, 2.965929, -0.000000, 0.000000, 
20, 7.192518, 10.960000, 0.192588, 1.038075, 2.965929, 0.000000, 0.000000, 
20, 7.214466, 10.960000, 0.214536, 1.097394, 2.965929, -0.000000, 0.000000, 
20, 7.237600, 10.960000, 0.237670, 1.156712, 2.965929, -0.000000, 0.000000, 
20, 7.261920, 10.960000, 0.261990, 1.216031, 2.965929, 0.000000, 0.000000, 
20, 7.287427, 10.960000, 0.287497, 1.275350, 2.965929, 0.000000, 0.000000, 
20, 7.314121, 10.960000, 0.314191, 1.334668, 2.965929, 0.000000, 0.000000, 
20, 7.342000, 10.960000, 0.342070, 1.393987, 2.965929, -0.000000, 0.000000, 
20, 7.371067, 10.960000, 0.371137, 1.453305, 2.965929, 0.000000, 0.000000, 
20, 7.401319, 10.960000, 0.401389, 1.512624, 2.965929, 0.000000, 0.000000, 
20, 7.432758, 10.960000, 0.432828, 1.571942, 2.965929, 0.000000, 0.000000, 
20, 7.465383, 10.960000, 0.465453, 1.631261, 2.965929, 0.000000, 0.000000, 
20, 7.499195, 10.960000, 0.499265, 1.690580, 2.965929, -0.000000, 0.000000, 
20, 7.534193, 10.960000, 0.534263, 1.749898, 2.965929, -0.000000, 0.000000, 
20, 7.570377, 10.960000, 0.570447, 1.809217, 2.965929, 0.000000, 0.000000, 
20, 7.607748, 10.960000, 0.607818, 1.868535, 2.965929, 0.000000, 0.000000, 
20, 7.646305, 10.960000, 0.646375, 1.927854, 2.965929, 0.000000, 0.000000, 
20, 7.686048, 10.960000, 0.686118, 1.987173, 2.965929, 0.000000, 0.000000, 
20, 7.726978, 10.960000, 0.727048, 2.046491, 2.965929, -0.000000, 0.000000, 
20, 7.769094, 10.960000, 0.769164, 2.105810, 2.965929, 0.000000, 0.000000, 
20, 7.812397, 10.960000, 0.812467, 2.165128, 2.965929, -0.000000, 0.000000, 
20, 7.856886, 10.960000, 0.856956, 2.224447, 2.965929, -0.000000, 0.000000, 
20, 7.902561, 10.960000, 0.902631, 2.283765, 2.965929, -0.000000, 0.000000, 
20, 7.949423, 10.960000, 0.949493, 2.343084, 2.965929, 0.000000, 0.000000, 
20, 7.997471, 10.960000, 0.997541, 2.402403, 2.965929, 0.000000, 0.000000, 
20, 8.046705, 10.960000, 1.046775, 2.461721, 2.965929, 0.000000, 0.000000, 
20, 8.097126, 10.960000, 1.097196, 2.521040, 2.965929, -0.000000, 0.000000, 
20, 8.148733, 10.960000, 1.148803, 2.580358, 2.965929, 0.000000, 0.000000, 
20, 8.201527, 10.960000, 1.201597, 2.639677, 2.965929, -0.000000, 0.000000, 
20, 8.255507, 10.960000, 1.255577, 2.698996, 2.965929, 0.000000, 0.000000, 
20, 8.310673, 10.960000, 1.310743, 2.758314, 2.965929, -0.000000, 0.000000, 
